id,amount,category,description,date,created_by,created_at,timestamp
b8273a76-e5af-49b9-806d-969bbdf7c54a,1500,,كسات مي,2026-01-03,,2026-01-03 13:01:05.410448+00,1767445264413
b8b36e63-1050-48e5-9448-e62d68168b49,1000,,"اكل العلي رياض ",2025-12-29,,2025-12-29 16:06:54.052825+00,1767024412889
c1cc7a14-0aeb-42de-ae68-29d329f5da12,1000,,كلاصات سفري,2026-01-21,,2026-01-21 12:46:15.955453+00,1768999576195
c883f84d-d7e2-436b-a0a3-91a1f9cf1d0f,376,,مولدة,2026-02-07,,2026-02-07 17:34:47.900522+00,
d013fa1c-577d-40c7-9597-f7d58ee1381f,2000,,جلافه مال تواليت,2025-12-28,,2025-12-28 13:48:07.015052+00,1766929685393
d81093bc-3e7e-43fd-9b01-13336a3a2fef,2000,,كابتشينو ٢ يوم,2026-01-18,,2026-01-18 15:02:42.055618+00,1768748561173
d9e70d51-720d-4d21-a910-98d464af879a,3000,,مي,2026-01-21,,2026-01-21 12:46:26.767947+00,1768999586994
da3f3025-6beb-4f78-9ba2-e145b4f9a6bc,4250,,كلنس,2026-01-18,,2026-01-18 15:02:25.709901+00,1768748544718
e3f96db0-2437-40ef-986d-d7ac5506324a,2000,,"معطر جو ",2026-01-21,,2026-01-21 13:24:53.386177+00,1769001893345
e58f273b-fc53-4d21-a045-9869ea7c38f5,1250,,جداحه وكبجينو,2026-01-05,,2026-01-05 13:26:14.011899+00,1767619572117
f43862c3-3e4f-42f6-87da-8d16d8f3ee7f,1000,,٢ بخاخ كحول,2025-12-28,,2025-12-28 14:07:19.343118+00,1766930836837
fcca7a68-76d6-4e91-93be-091c66985710,3000,,كاسات مي,2026-01-31,,2026-01-31 10:52:05.248998+00,
